Date retreived,Hansard document url,wā,title,Te Reo length,total length,is Māori (%),awaiting authorised reo
2017-12-14 18:05:31.365625,/en/pb/hansard-debates/rhr/document/47HansD_20030508/volume-608-week-23-thursday-8-may-2003,08-May-2003  ,"Parliamentary Debates (Hansard) for Thursday, 8 May 2003  ",1995,20333,0.09811636256332071,
2017-12-14 18:05:32.553342,/en/pb/hansard-debates/rhr/document/47HansD_20030513/volume-608-week-24-tuesday-13-may-2003,13-May-2003  ,"Parliamentary Debates (Hansard) for Tuesday, 13 May 2003  ",3643,35611,0.10229985116958243,
2017-12-14 18:05:33.916184,/en/pb/hansard-debates/rhr/document/47HansD_20030514/volume-608-week-24-wednesday-14-may-2003,14-May-2003  ,"Parliamentary Debates (Hansard) for Wednesday, 14 May 2003  ",3337,35610,0.09370963212580735,
2017-12-14 18:05:35.185053,/en/pb/hansard-debates/rhr/document/47HansD_20030515/volume-608-week-24-thursday-15-may-2003,15-May-2003  ,"Parliamentary Debates (Hansard) for Thursday, 15 May 2003  ",2088,24195,0.08629882207067575,
2017-12-14 18:05:36.373766,/en/pb/hansard-debates/rhr/document/47HansD_20030520/volume-608-week-25-tuesday-20-may-2003,20-May-2003  ,"Parliamentary Debates (Hansard) for Tuesday, 20 May 2003  ",3276,36112,0.09071776694727514,
2017-12-14 18:05:37.813126,/en/pb/hansard-debates/rhr/document/47HansD_20030521/volume-608-week-25-wednesday-21-may-2003,21-May-2003  ,"Parliamentary Debates (Hansard) for Wednesday, 21 May 2003  ",3480,36565,0.09517297962532477,
2017-12-14 18:05:39.142882,/en/pb/hansard-debates/rhr/document/47HansD_20030522/volume-608-week-25-thursday-22-may-2003,22-May-2003  ,"Parliamentary Debates (Hansard) for Thursday, 22 May 2003  ",1998,22218,0.08992708614636781,
2017-12-14 18:05:40.433178,/en/pb/hansard-debates/rhr/document/47HansD_20030610/volume-609-week-26-tuesday-10-june-2003,10-Jun-2003  ,"Parliamentary Debates (Hansard) for Tuesday, 10 June 2003  ",3262,36725,0.08882232811436351,
2017-12-14 18:05:41.960929,/en/pb/hansard-debates/rhr/document/47HansD_20030611/volume-609-week-26-wednesday-11-june-2003,11-Jun-2003  ,"Parliamentary Debates (Hansard) for Wednesday, 11 June 2003  ",2417,26373,0.091646759943882,
2017-12-14 18:05:43.162082,/en/pb/hansard-debates/rhr/document/47HansD_20030612/volume-609-week-26-thursday-12-june-2003,12-Jun-2003  ,"Parliamentary Debates (Hansard) for Thursday, 12 June 2003  ",2104,21111,0.0996636824404339,
